Sample ID	Block	Time	Jar	Treatment	Measurement Date	Measurer Name	Larval Stage	Alive/Dead	Normal/Deformed	N.D.A
CS.B06.T24.J11 6.19.18-0005	B06	T24	J11	CON	5/16/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B06.T24.J11 6.19.18-0006	B06	T24	J11	CON	5/16/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B06.T24.J11 6.19.18-0007	B06	T24	J11	CON	5/16/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B06.T24.J11 6.19.18-0008	B06	T24	J11	CON	5/16/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B06.T24.J11 6.19.18-0009	B06	T24	J11	CON	5/16/2019	Melati Tarrant	D-Stage	Alive	Normal	Normal
CS.B06.T24.J11 6.19.18-0010	B06	T24	J11	CON	5/16/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B06.T24.J11 6.19.18-0011	B06	T24	J11	CON	5/16/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B06.T24.J11 6.19.18-0012	B06	T24	J11	CON	5/16/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B06.T24.J11 6.19.18-0013	B06	T24	J11	CON	5/16/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B06.T24.J11 6.19.18-0014	B06	T24	J11	CON	5/16/2019	Melati Tarrant	Trochophore	Alive	Deformed	Deformed
CS.B06.T24.J11 6.19.18-0015	B06	T24	J11	CON	5/16/2019	Melati Tarrant	Veliger	Alive	Normal	Normal
CS.B06.T24.J11 6.19.18-0016	B06	T24	J11	CON	5/16/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B06.T24.J11 6.19.18-0017	B06	T24	J11	CON	5/16/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B06.T24.J12 6.20.18-0001	B06	T24	J12	CASE	5/17/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B06.T24.J12 6.20.18-0002	B06	T24	J12	CASE	5/17/2019	Melati Tarrant	D-Stage	Alive	Normal	Normal
CS.B10.T00.J01 8.18.18-0001 A	B10	T00	J01	CASE	6/28/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J01 8.18.18-0001 B	B10	T00	J01	CASE	6/28/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J01 8.18.18-0002	B10	T00	J01	CASE	6/28/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J01 8.18.18-0003	B10	T00	J01	CASE	6/28/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J01 8.18.18-0004	B10	T00	J01	CASE	6/28/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J01 8.18.18-0005	B10	T00	J01	CASE	6/28/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J01 8.18.18-0006	B10	T00	J01	CASE	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J01 8.18.18-0007	B10	T00	J01	CASE	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J01 8.18.18-0008	B10	T00	J01	CASE	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J01 8.18.18-0009	B10	T00	J01	CASE	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J01 8.18.18-0010	B10	T00	J01	CASE	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J01 8.18.18-0011	B10	T00	J01	CASE	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J01 8.18.18-0012	B10	T00	J01	CASE	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J01 8.18.18-0014	B10	T00	J01	CASE	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J01 8.18.18-0015	B10	T00	J01	CASE	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J01 8.18.18-0016	B10	T00	J01	CASE	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J01 8.18.18-0017	B10	T00	J01	CASE	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J01 8.18.18-0018	B10	T00	J01	CASE	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J01 8.18.18-0019	B10	T00	J01	CASE	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J01 8.18.18-0020	B10	T00	J01	CASE	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J01 8.18.18-0021	B10	T00	J01	CASE	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J01 8.18.18-0022	B10	T00	J01	CASE	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J01 8.18.18-0023	B10	T00	J01	CASE	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J01 8.18.18-0024 A (top)	B10	T00	J01	CASE	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J01 8.18.18-0024 B	B10	T00	J01	CASE	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J01 8.18.18-0025	B10	T00	J01	CASE	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J01 8.18.18-0026	B10	T00	J01	CASE	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J02 8.18.18-0001	B10	T00	J02	CON	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J02 8.18.18-0002	B10	T00	J02	CON	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J02 8.18.18-0003 A	B10	T00	J02	CON	07/01/2019	Melati Tarrant	NA	Dead	NA	Dead
CS.B10.T00.J02 8.18.18-0003 B	B10	T00	J02	CON	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J02 8.18.18-0004 A	B10	T00	J02	CON	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J02 8.18.18-0004 B	B10	T00	J02	CON	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J02 8.18.18-0005	B10	T00	J02	CON	07/01/2019	Melati Tarrant	NA	Dead	NA	Dead
CS.B10.T00.J02 8.18.18-0006	B10	T00	J02	CON	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J02 8.18.18-0007	B10	T00	J02	CON	07/01/2019	Melati Tarrant	NA	Dead	NA	Dead
CS.B10.T00.J02 8.18.18-0008 A	B10	T00	J02	CON	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J02 8.18.18-0008 B	B10	T00	J02	CON	07/01/2019	Melati Tarrant	NA	Dead	NA	Dead
CS.B10.T00.J02 8.18.18-0009	B10	T00	J02	CON	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J02 8.18.18-0010 A	B10	T00	J02	CON	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J02 8.18.18-0010 B	B10	T00	J02	CON	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J02 8.18.18-0011	B10	T00	J02	CON	07/01/2019	Melati Tarrant	NA	Dead	NA	Dead
CS.B10.T00.J02 8.18.18-0012	B10	T00	J02	CON	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J02 8.18.18-0013	B10	T00	J02	CON	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J02 8.18.18-0014	B10	T00	J02	CON	07/01/2019	Melati Tarrant	NA	Dead	NA	Dead
CS.B10.T00.J02 8.18.18-0015 A (left)	B10	T00	J02	CON	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J02 8.18.18-0015 B	B10	T00	J02	CON	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J02 8.18.18-0016	B10	T00	J02	CON	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J02 8.18.18-0017 A	B10	T00	J02	CON	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J02 8.18.18-0017 B	B10	T00	J02	CON	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J02 8.18.18-0017 C	B10	T00	J02	CON	07/01/2019	Melati Tarrant	Trochophore	Alive	Deformed	Deformed
CS.B10.T00.J02 8.18.18-0018	B10	T00	J02	CON	07/01/2019	Melati Tarrant	NA	Dead	NA	Dead
CS.B10.T00.J02 8.18.18-0019***	B10	T00	J02	CON	07/01/2019	Melati Tarrant	NA	NA	NA	NA
CS.B10.T00.J02 8.18.18-0020	B10	T00	J02	CON	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J02 8.18.18-0021	B10	T00	J02	CON	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J02 8.18.18-0022	B10	T00	J02	CON	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J02 8.18.18-0023	B10	T00	J02	CON	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J02 8.18.18-0024 A	B10	T00	J02	CON	07/01/2019	Melati Tarrant	Trochophore	Alive	Deformed	Deformed
CS.B10.T00.J02 8.18.18-0024 B	B10	T00	J02	CON	07/01/2019	Melati Tarrant	NA	Dead	NA	Dead
CS.B10.T00.J02 8.18.18-0025 A	B10	T00	J02	CON	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J02 8.18.18-0025 B	B10	T00	J02	CON	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J03 8.18.18-0001	B10	T00	J03	SE	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J03 8.18.18-0002	B10	T00	J03	SE	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J03 8.18.18-0003	B10	T00	J03	SE	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J03 8.18.18-0004	B10	T00	J03	SE	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J03 8.18.18-0005	B10	T00	J03	SE	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J03 8.18.18-0006	B10	T00	J03	SE	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J03 8.18.18-0007 A	B10	T00	J03	SE	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J03 8.18.18-0007 B	B10	T00	J03	SE	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J03 8.18.18-0008 A	B10	T00	J03	SE	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J03 8.18.18-0008 B	B10	T00	J03	SE	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J03 8.18.18-0009	B10	T00	J03	SE	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J03 8.18.18-0010	B10	T00	J03	SE	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J03 8.18.18-0011	B10	T00	J03	SE	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J03 8.18.18-0012	B10	T00	J03	SE	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J03 8.18.18-0013 A	B10	T00	J03	SE	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J03 8.18.18-0013 B	B10	T00	J03	SE	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J03 8.18.18-0013 C	B10	T00	J03	SE	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J03 8.18.18-0014	B10	T00	J03	SE	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J03 8.18.18-0015	B10	T00	J03	SE	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J03 8.18.18-0016	B10	T00	J03	SE	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J03 8.18.18-0017	B10	T00	J03	SE	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J03 8.18.18-0018	B10	T00	J03	SE	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J03 8.18.18-0019	B10	T00	J03	SE	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J03 8.18.18-0020	B10	T00	J03	SE	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J03 8.18.18-0021	B10	T00	J03	SE	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J03 8.18.18-0022	B10	T00	J03	SE	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J03 8.18.18-0023 A	B10	T00	J03	SE	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J03 8.18.18-0023 B	B10	T00	J03	SE	07/01/2019	Melati Tarrant	NA	Dead	NA	Dead
CS.B10.T00.J03 8.18.18-0023 C	B10	T00	J03	SE	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J03 8.18.18-0024	B10	T00	J03	SE	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J04 8.20.18-0001	B10	T00	J04	SE	07/01/2019	Melati Tarrant	NA	Dead	NA	Dead
CS.B10.T00.J04 8.20.18-0002	B10	T00	J04	SE	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J04 8.20.18-0003	B10	T00	J04	SE	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J04 8.20.18-0004	B10	T00	J04	SE	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J04 8.20.18-0005	B10	T00	J04	SE	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J04 8.20.18-0006	B10	T00	J04	SE	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J04 8.20.18-0007	B10	T00	J04	SE	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J04 8.20.18-0008	B10	T00	J04	SE	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J04 8.20.18-0009	B10	T00	J04	SE	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J04 8.20.18-0010	B10	T00	J04	SE	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J04 8.20.18-0011	B10	T00	J04	SE	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J04 8.20.18-0012 A (top)	B10	T00	J04	SE	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J04 8.20.18-0012 B	B10	T00	J04	SE	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J04 8.20.18-0013	B10	T00	J04	SE	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J04 8.20.18-0014 A	B10	T00	J04	SE	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J04 8.20.18-0014 B	B10	T00	J04	SE	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J04 8.20.18-0015	B10	T00	J04	SE	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J04 8.20.18-0016	B10	T00	J04	SE	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J04 8.20.18-0017	B10	T00	J04	SE	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J04 8.20.18-0018	B10	T00	J04	SE	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J04 8.20.18-0019	B10	T00	J04	SE	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J04 8.20.18-0020	B10	T00	J04	SE	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J04 8.20.18-0021	B10	T00	J04	SE	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J04 8.20.18-0022 A	B10	T00	J04	SE	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J04 8.20.18-0022 B	B10	T00	J04	SE	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J04 8.20.18-0023	B10	T00	J04	SE	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J04 8.20.18-0024 A	B10	T00	J04	SE	07/01/2019	Melati Tarrant	D-Stage	Alive	Normal	Normal
CS.B10.T00.J04 8.20.18-0024 B	B10	T00	J04	SE	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J04 8.20.18-0025	B10	T00	J04	SE	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J04 8.20.18-0026 A	B10	T00	J04	SE	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J04 8.20.18-0026 B	B10	T00	J04	SE	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J04 8.20.18-0027	B10	T00	J04	SE	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J05 8.22.18-0001	B10	T00	J05	CA	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J05 8.22.18-0002	B10	T00	J05	CA	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J05 8.22.18-0003	B10	T00	J05	CA	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J05 8.22.18-0004	B10	T00	J05	CA	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J05 8.22.18-0005	B10	T00	J05	CA	07/01/2019	Melati Tarrant	NA	Dead	NA	Dead
CS.B10.T00.J05 8.22.18-0006	B10	T00	J05	CA	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J05 8.22.18-0007	B10	T00	J05	CA	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J05 8.22.18-0008	B10	T00	J05	CA	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J05 8.22.18-0009	B10	T00	J05	CA	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J05 8.22.18-0010	B10	T00	J05	CA	07/01/2019	Melati Tarrant	NA	Dead	NA	Dead
CS.B10.T00.J05 8.22.18-0011 A	B10	T00	J05	CA	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J05 8.22.18-0011 B	B10	T00	J05	CA	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J05 8.22.18-0012	B10	T00	J05	CA	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J05 8.22.18-0013	B10	T00	J05	CA	07/01/2019	Melati Tarrant	NA	Dead	NA	Dead
CS.B10.T00.J05 8.22.18-0014	B10	T00	J05	CA	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J05 8.22.18-0015	B10	T00	J05	CA	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J05 8.22.18-0016	B10	T00	J05	CA	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J05 8.22.18-0017	B10	T00	J05	CA	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J05 8.22.18-0018	B10	T00	J05	CA	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J05 8.22.18-0019	B10	T00	J05	CA	07/01/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J05 8.22.18-0020	B10	T00	J05	CA	07/02/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J05 8.22.18-0021	B10	T00	J05	CA	07/02/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J05 8.22.18-0022	B10	T00	J05	CA	07/02/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J05 8.22.18-0023 A	B10	T00	J05	CA	07/02/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J05 8.22.18-0023 B	B10	T00	J05	CA	07/02/2019	Melati Tarrant	NA	Dead	NA	Dead
CS.B10.T00.J05 8.22.18-0024	B10	T00	J05	CA	07/02/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J05 8.22.18-0025	B10	T00	J05	CA	07/02/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J05 8.22.18-0026	B10	T00	J05	CA	07/02/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J05 8.22.18-0027	B10	T00	J05	CA	07/02/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J06 8.24.18-0001	B10	T00	J06	CON	07/02/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J06 8.24.18-0002	B10	T00	J06	CON	07/02/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J06 8.24.18-0003	B10	T00	J06	CON	07/02/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J06 8.24.18-0004	B10	T00	J06	CON	07/02/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J06 8.24.18-0005	B10	T00	J06	CON	07/02/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J06 8.24.18-0006	B10	T00	J06	CON	07/02/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J06 8.24.18-0007	B10	T00	J06	CON	07/02/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J06 8.24.18-0008	B10	T00	J06	CON	07/02/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J06 8.24.18-0009	B10	T00	J06	CON	07/02/2019	Melati Tarrant	Trochophore	Alive	Deformed	Deformed
CS.B10.T00.J06 8.24.18-0010 A	B10	T00	J06	CON	07/02/2019	Melati Tarrant	Trochophore	Alive	Deformed	Deformed
CS.B10.T00.J06 8.24.18-0010 B	B10	T00	J06	CON	07/02/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J06 8.24.18-0011	B10	T00	J06	CON	07/02/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J06 8.24.18-0012	B10	T00	J06	CON	07/02/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J06 8.24.18-0013 A	B10	T00	J06	CON	07/02/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J06 8.24.18-0013 B	B10	T00	J06	CON	07/02/2019	Melati Tarrant	NA	Dead	NA	Dead
CS.B10.T00.J06 8.24.18-0014	B10	T00	J06	CON	07/02/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J06 8.24.18-0015	B10	T00	J06	CON	07/02/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J06 8.24.18-0016	B10	T00	J06	CON	07/02/2019	Melati Tarrant	D-Stage	Alive	Normal	Normal
CS.B10.T00.J06 8.24.18-0017	B10	T00	J06	CON	07/02/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J06 8.24.18-0018	B10	T00	J06	CON	07/02/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J06 8.24.18-0019	B10	T00	J06	CON	07/02/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J06 8.24.18-0020	B10	T00	J06	CON	07/02/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J06 8.24.18-0021 A	B10	T00	J06	CON	07/02/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J06 8.24.18-0021 B	B10	T00	J06	CON	07/02/2019	Melati Tarrant	D-Stage	Alive	Normal	Normal
CS.B10.T00.J06 8.24.18-0022	B10	T00	J06	CON	07/02/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J06 8.24.18-0023	B10	T00	J06	CON	07/02/2019	Melati Tarrant	NA	Dead	NA	Dead
CS.B10.T00.J06 8.24.18-0024	B10	T00	J06	CON	07/02/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J06 8.24.18-0025	B10	T00	J06	CON	07/02/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J06 8.24.18-0026	B10	T00	J06	CON	07/02/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J06 8.24.18-0027	B10	T00	J06	CON	07/02/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J07 8.24.18-0001	B10	T00	J07	CASE	07/02/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J07 8.24.18-0002	B10	T00	J07	CASE	07/02/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J07 8.24.18-0003	B10	T00	J07	CASE	07/02/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J07 8.24.18-0004	B10	T00	J07	CASE	07/02/2019	Melati Tarrant	Trochophore	Alive	Deformed	Deformed
CS.B10.T00.J07 8.24.18-0005	B10	T00	J07	CASE	07/02/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J07 8.24.18-0006	B10	T00	J07	CASE	07/02/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J07 8.24.18-0007	B10	T00	J07	CASE	07/02/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J07 8.24.18-0008	B10	T00	J07	CASE	07/02/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B10.T00.J07 8.24.18-0009	B10	T00	J07	CASE	07/02/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
