"gene_name","GeneOntologyIDs","Term","Annotated","Significant","Expected","Fisher","ontology","prop.sig.genes","stressor"
"LOC111127274","GO:0016887","ATPase activity",359,39,15.75,8.7e-05,"Molecular Functions",0.108635097493036,"Core: All Outliers"
"LOC111127274","GO:0042393","histone binding",71,7,3.12,0.03271,"Molecular Functions",0.0985915492957746,"Core: All Outliers"
"LOC111127708","GO:0098632","cell-cell adhesion mediator activity",29,5,1.27,0.00794,"Molecular Functions",0.172413793103448,"Core: All Outliers"
"LOC111127757","GO:0004168","dolichol kinase activity",1,1,0.04,0.04388,"Molecular Functions",1,"Core: All Outliers"
"LOC111127847","GO:0008270","zinc ion binding",2113,123,92.71,0.00062,"Molecular Functions",0.0582110743019404,"Core: All Outliers"
"LOC111127849","GO:0004198","calcium-dependent cysteine-type endopeptidase activity",26,5,1.14,0.0049,"Molecular Functions",0.192307692307692,"Core: All Outliers"
"LOC111127906","GO:0005524","ATP binding",1286,84,56.42,0.00016,"Molecular Functions",0.0653188180404355,"Core: All Outliers"
"LOC111127974","GO:0042284","sphingolipid delta-4 desaturase activity",1,1,0.04,0.04388,"Molecular Functions",1,"Core: All Outliers"
"LOC111127976","GO:0004343","glucosamine 6-phosphate N-acetyltransferase activity",5,2,0.22,0.0176,"Molecular Functions",0.4,"Core: All Outliers"
"LOC111128063","GO:0005509","calcium ion binding",846,50,37.12,0.02006,"Molecular Functions",0.0591016548463357,"Core: All Outliers"
"LOC111128063","GO:0051015","actin filament binding",117,16,5.13,5.2e-05,"Molecular Functions",0.136752136752137,"Core: All Outliers"
"LOC111128085","GO:0019894","kinesin binding",8,2,0.35,0.04515,"Molecular Functions",0.25,"Core: All Outliers"
"LOC111128139","GO:0051082","unfolded protein binding",66,14,2.9,8.1e-07,"Molecular Functions",0.212121212121212,"Core: All Outliers"
"LOC111128318","GO:0051015","actin filament binding",117,16,5.13,5.2e-05,"Molecular Functions",0.136752136752137,"Core: All Outliers"
"LOC111128364","GO:0003777","microtubule motor activity",76,12,3.33,0.00828,"Molecular Functions",0.157894736842105,"Core: All Outliers"
"LOC111128364","GO:0005524","ATP binding",1286,84,56.42,0.00016,"Molecular Functions",0.0653188180404355,"Core: All Outliers"
"LOC111128364","GO:0008017","microtubule binding",158,18,6.93,2e-04,"Molecular Functions",0.113924050632911,"Core: All Outliers"
"LOC111128420","GO:0005509","calcium ion binding",846,50,37.12,0.02006,"Molecular Functions",0.0591016548463357,"Core: All Outliers"
"LOC111128432","GO:0008017","microtubule binding",158,18,6.93,2e-04,"Molecular Functions",0.113924050632911,"Core: All Outliers"
"LOC111128608","GO:0005509","calcium ion binding",846,50,37.12,0.02006,"Molecular Functions",0.0591016548463357,"Core: All Outliers"
"LOC111128721","GO:0003723","RNA binding",833,78,36.55,0.00018,"Molecular Functions",0.0936374549819928,"Core: All Outliers"
"LOC111128966","GO:0003682","chromatin binding",141,11,6.19,0.01939,"Molecular Functions",0.0780141843971631,"Core: All Outliers"
"LOC111128966","GO:0005524","ATP binding",1286,84,56.42,0.00016,"Molecular Functions",0.0653188180404355,"Core: All Outliers"
"LOC111128966","GO:0016887","ATPase activity",359,39,15.75,8.7e-05,"Molecular Functions",0.108635097493036,"Core: All Outliers"
