LOC111099067	GO:0000463; GO:0000466; GO:0005634; GO:0005730; GO:0008650; GO:0016435; GO:0030687; GO:0031167; GO:0031167
LOC111099093	GO:0005930; GO:0036064; GO:0060271
LOC111099166	GO:0005247; GO:0005765; GO:0006821; GO:0043231; GO:0055085
LOC111099218	GO:0005515
LOC111099610	GO:0003713; GO:0005515; GO:0005634; GO:0005737; GO:0035329; GO:0045944
LOC111099613	GO:0031410
LOC111099936	GO:0005515; GO:0005615
LOC111099956	GO:0000030; GO:0005515; GO:0005783; GO:0035269
LOC111099982	GO:0005634; GO:0005737; GO:0031146; GO:0097602
LOC111099985	GO:0005506; GO:0005737; GO:0006082; GO:0006805; GO:0016712; GO:0020037; GO:0020037; GO:0043231
LOC111099995	GO:0003989; GO:0003989; GO:0005524; GO:0006633; GO:0046872
LOC111100121	GO:0005085; GO:0007266
LOC111100141	GO:0004222; GO:0004222; GO:0005509; GO:0006508; GO:0008270
LOC111100196	GO:0000209; GO:0017148; GO:0030371; GO:0043161; GO:0061630
LOC111100239	GO:0000209; GO:0008270; GO:0017148; GO:0030371; GO:0043161; GO:0061630
LOC111100242	GO:0000209; GO:0008270; GO:0017148; GO:0030371; GO:0043161; GO:0061630
LOC111100314	GO:0004445; GO:0046856
LOC111100398	GO:0005506; GO:0006537; GO:0010181; GO:0016040; GO:0050660; GO:0051536
LOC111100412	GO:0000209; GO:0008270; GO:0017148; GO:0030371; GO:0043161; GO:0061630
LOC111100419	GO:0005576; GO:0008270
LOC111100451	GO:0005737; GO:0006457
LOC111100516	GO:0004111; GO:0046314
LOC111100546	GO:0006511; GO:0016567; GO:0061630
LOC111100547	GO:0000463; GO:0003676; GO:0003724; GO:0005524; GO:0005730
LOC111100549	GO:0000209; GO:0003729; GO:0005634; GO:0005737; GO:0008270; GO:0017148; GO:0030371; GO:0043161; GO:0061630
LOC111100560	GO:0005515; GO:0016702; GO:0016702; GO:0034440; GO:0046872; GO:0046872
LOC111100630	GO:0001671; GO:0005890; GO:0005890; GO:0006883; GO:0030007; GO:0036376; GO:1990573
LOC111100655	GO:0016624
LOC111100708	GO:0003735; GO:0003735; GO:0005730; GO:0005840; GO:0006412; GO:0022627; GO:0070181
LOC111100765	GO:0005198; GO:0005515; GO:0005737; GO:0005856; GO:0005882; GO:0016020; GO:0042060; GO:0045104
LOC111100788	GO:0003729; GO:0005634; GO:0048024
LOC111100881	GO:0004252; GO:0005515
LOC111100882	GO:0000209; GO:0005515; GO:0008270; GO:0043161; GO:0061630
LOC111100883	GO:0000209; GO:0008270; GO:0017148; GO:0030371; GO:0043161; GO:0061630
LOC111100903	GO:0008380; GO:0071011
LOC111100924	GO:0000209; GO:0005515; GO:0008270; GO:0017148; GO:0030371; GO:0043161; GO:0061630
LOC111100927	GO:0000209; GO:0008270; GO:0043161; GO:0061630
LOC111101020	GO:0003729; GO:0005634; GO:0048024
LOC111101025	GO:0003723; GO:0003724; GO:0003724; GO:0005524
LOC111101027	GO:0003924; GO:0005525
LOC111101057	GO:0005737; GO:0006457; GO:0051082
LOC111101063	GO:0000209; GO:0005515; GO:0008270; GO:0043161; GO:0061630
LOC111101168	GO:0003341; GO:0005930; GO:0036159; GO:0060285
LOC111101182	GO:0008270
LOC111101190	GO:0000209; GO:0008270; GO:0017148; GO:0030371; GO:0043161; GO:0061630
LOC111101281	GO:0030431; GO:0032222; GO:1903818
LOC111101410	GO:0000184; GO:0003729; GO:0005730; GO:0005737; GO:0045727
LOC111101524	GO:0004222; GO:0004222; GO:0005515; GO:0006508; GO:0008270
LOC111101543	GO:0000209; GO:0017148; GO:0030371; GO:0043161; GO:0061630
LOC111101808	GO:0005515; GO:0005737; GO:0031514; GO:0044782
LOC111101860	GO:0002181; GO:0003735; GO:0003735; GO:0005840; GO:0005840; GO:0022625; GO:0042273
LOC111101893	GO:0005515
LOC111101916	GO:0000287; GO:0004450; GO:0004450; GO:0005739; GO:0005777; GO:0005829; GO:0006102; GO:0006102; GO:0051287
LOC111102125	GO:0005635; GO:0005737
LOC111102475	GO:0003723; GO:0005634; GO:0005634; GO:0032021; GO:0034244
LOC111102580	GO:0005515; GO:0005634; GO:0006334; GO:0006335; GO:0033186
LOC111102659	GO:0005739
LOC111102673	GO:0000974; GO:0071013; GO:0071014
LOC111102685	GO:0005737; GO:0005868; GO:0007018; GO:0045505
LOC111102970	GO:0005737; GO:0006470; GO:0008330; GO:0017017; GO:0017017; GO:0043409
LOC111103020	GO:0000209; GO:0008270; GO:0017148; GO:0030371; GO:0043161; GO:0061630
LOC111103170	GO:0003729; GO:0003735; GO:0003735; GO:0005840; GO:0005840; GO:0006412; GO:0006412; GO:0017148; GO:0022625
LOC111103246	GO:0005096; GO:0005737; GO:0005886; GO:0017157; GO:0019905; GO:0031201; GO:0045159; GO:0050708
LOC111103275	GO:0005856
LOC111103367	GO:0005783; GO:0005794; GO:0006612; GO:0018230; GO:0019706
LOC111103434	GO:0003676
LOC111103589	GO:0005886; GO:0006886; GO:0006887; GO:0031267; GO:0042043; GO:0070382
LOC111103614	GO:0004017; GO:0005524; GO:0005524; GO:0005737; GO:0005739; GO:0006139; GO:0006139; GO:0016887
LOC111103630	GO:0000815; GO:0005771; GO:0015031; GO:0032509; GO:0045324
LOC111103647	GO:0005515; GO:0032874
LOC111103655	GO:0003723; GO:0016607; GO:0048786
LOC111103784	GO:0005813
LOC111103803	GO:0005929
LOC111103862	GO:0005515
LOC111103868	GO:0005509; GO:0005515; GO:0005813; GO:0034453
LOC111103869	GO:0003924; GO:0005525; GO:0007165
LOC111104061	GO:0004842; GO:0016887; GO:0016887
LOC111104070	GO:0004364; GO:0004364; GO:0005737; GO:0005737; GO:0006749; GO:0045174
LOC111104275	GO:0004869; GO:0004869; GO:0005829
LOC111104629	GO:0004198; GO:0005515; GO:0006508; GO:0019825; GO:0020037
LOC111104835	GO:0003924; GO:0005096; GO:0005515; GO:0005525; GO:0005634
LOC111104878	GO:0008757
LOC111105133	GO:0005515; GO:0005737; GO:0016020
LOC111105198	GO:0008270
LOC111105249	GO:0005634; GO:0006979
LOC111105302	GO:0003924; GO:0005525; GO:0005525; GO:0005737; GO:0005794; GO:0006886; GO:0016192
LOC111105429	GO:0003723; GO:0003743; GO:0003743; GO:0005737; GO:0006413; GO:0006413
LOC111105616	GO:0003735; GO:0003735; GO:0005840; GO:0005840; GO:0006412; GO:0006412; GO:0022625
LOC111105682	GO:0004930; GO:0005515; GO:0007186; GO:0016020
LOC111105701	GO:0000785; GO:0004842; GO:0005515; GO:0005654; GO:0008270; GO:0045893
LOC111105703	GO:0000209; GO:0008270; GO:0043161; GO:0061630
LOC111105710	GO:0000127; GO:0006383
LOC111106073	GO:0005515
LOC111106222	GO:0008270
LOC111106298	GO:0004364; GO:0004364; GO:0006749
LOC111106468	GO:0003735; GO:0003735; GO:0005840; GO:0005840; GO:0006412; GO:0006412; GO:0022627
LOC111106506	GO:0005515
LOC111106674	GO:0000785; GO:0004842; GO:0005515; GO:0005654; GO:0008270; GO:0045893
LOC111106881	GO:0008270
LOC111106953	GO:0018095; GO:0036064; GO:0060271
LOC111106980	GO:0005515
LOC111106992	GO:0004753; GO:0005737; GO:0019878
LOC111107029	GO:0005829; GO:0033353
LOC111107093	GO:0005635; GO:0005829; GO:0006606; GO:0031267
LOC111107094	GO:0000785; GO:0004842; GO:0005515; GO:0005654; GO:0008270; GO:0045893
LOC111107109	GO:0005507; GO:0005886; GO:0006826; GO:0016491; GO:0016491
LOC111107136	GO:0005509; GO:0005524; GO:0005524; GO:0006457; GO:0006457; GO:0007155; GO:0016887; GO:0016887; GO:0030433; GO:0051082; GO:0051082; GO:0140662; GO:0140662
LOC111107163	GO:0004707; GO:0005524; GO:0005634; GO:0005737; GO:0006468; GO:0035556
LOC111107264	GO:0000209; GO:0008270; GO:0017148; GO:0030371; GO:0043161; GO:0061630
LOC111107343	GO:0003723; GO:0003735; GO:0022627
LOC111107347	GO:0030368
LOC111107387	GO:0004672; GO:0005515; GO:0005524; GO:0006468
LOC111107393	GO:0005506; GO:0005506; GO:0016491; GO:0016491; GO:0051537; GO:0071949
LOC111107462	GO:0004697; GO:0005524; GO:0006468
LOC111107565	GO:0003713; GO:0005515; GO:0006338; GO:0006355; GO:0035097
LOC111107598	GO:0000785; GO:0004842; GO:0005654; GO:0008270; GO:0045893
LOC111107657	GO:0000785; GO:0004842; GO:0005654; GO:0008270; GO:0045893
LOC111107757	GO:0007420; GO:0098609; GO:0098632
LOC111107773	GO:0005515
LOC111107786	GO:0000209; GO:0005515; GO:0008270; GO:0043161; GO:0061630
LOC111107788	GO:0005515; GO:0008270
LOC111107795	GO:0004683; GO:0005516; GO:0005524; GO:0005634; GO:0005737; GO:0009931; GO:0018105; GO:0035556; GO:0046777; GO:0051019
LOC111107828	GO:0008270
LOC111107874	GO:0000209; GO:0005515; GO:0008270; GO:0043161; GO:0061630
LOC111107875	GO:0000209; GO:0005515; GO:0017148; GO:0030371; GO:0043161; GO:0061630
LOC111108086	GO:0005388; GO:0005388; GO:0005524; GO:0016020; GO:0016887; GO:0043231; GO:0051480; GO:0070588
LOC111108170	GO:0005524; GO:0005524; GO:0005737; GO:0016887; GO:0031072; GO:0034620; GO:0042026; GO:0051082; GO:0051085; GO:0051787; GO:0140662; GO:0140662
LOC111108241	GO:0005544; GO:0005886; GO:0071277
LOC111108360	GO:0000127; GO:0003677; GO:0006384; GO:0042791
LOC111108370	GO:0051015; GO:0051015
LOC111108442	GO:0005048; GO:0005784; GO:0006616; GO:0008320; GO:0016020; GO:0016020; GO:0031204; GO:0043022
LOC111108671	GO:0005515; GO:0008270
LOC111108878	GO:0005509; GO:0005509; GO:0030234
LOC111108931	GO:0003755
LOC111109514	GO:0000209; GO:0043161; GO:0061630
LOC111109634	GO:0004674; GO:0005524; GO:0005737; GO:0006468
LOC111109677	GO:0006357; GO:0008301
LOC111109690	GO:0000700; GO:0000700; GO:0005634; GO:0006285; GO:0006285
LOC111109850	GO:0005901; GO:0060090; GO:0070836; GO:0070836
LOC111109854	GO:0005524; GO:0005524; GO:0016887
LOC111110098	GO:0004345; GO:0004345; GO:0005829; GO:0006006; GO:0006006; GO:0009051; GO:0050661; GO:0050661
LOC111110128	GO:0000978; GO:0000981; GO:0005634; GO:0006357
LOC111110187	GO:0005737; GO:0008146; GO:0008146; GO:0051923
LOC111110485	GO:0004565; GO:0004565; GO:0005773; GO:0005975; GO:0005975
LOC111110571	GO:0016020; GO:0043066
LOC111110628	GO:0006508; GO:0070006
LOC111110677	GO:0004674; GO:0004713; GO:0005524; GO:0005634; GO:0005737; GO:0018105; GO:0018107
