"gene_name","GeneOntologyIDs","Term","Annotated","Significant","Expected","Fisher","ontology","prop.sig.genes","stressor"
"LOC111129443","GO:0030234","enzyme regulator activity",566,21,16.66,0.02686,"Molecular Functions",0.0371024734982332,"Core: CASE"
"LOC111129621","GO:0030234","enzyme regulator activity",566,21,16.66,0.02686,"Molecular Functions",0.0371024734982332,"Core: CASE"
"LOC111129719","GO:0098632","cell-cell adhesion mediator activity",29,5,0.85,0.00144,"Molecular Functions",0.172413793103448,"Core: CASE"
"LOC111129798","GO:0016807","cysteine-type carboxypeptidase activity",1,1,0.03,0.02944,"Molecular Functions",1,"Core: CASE"
"LOC111129841","GO:0005524","ATP binding",1286,56,37.86,0.00215,"Molecular Functions",0.0435458786936236,"Core: CASE"
"LOC111129841","GO:0016887","ATPase activity",359,27,10.57,0.00141,"Molecular Functions",0.0752089136490251,"Core: CASE"
"LOC111129841","GO:0051082","unfolded protein binding",66,9,1.94,0.00013,"Molecular Functions",0.136363636363636,"Core: CASE"
"LOC111129841","GO:0097718","disordered domain specific binding",1,1,0.03,0.02944,"Molecular Functions",1,"Core: CASE"
"LOC111130138","GO:0005524","ATP binding",1286,56,37.86,0.00215,"Molecular Functions",0.0435458786936236,"Core: CASE"
"LOC111130244","GO:0017128","phospholipid scramblase activity",10,2,0.29,0.03329,"Molecular Functions",0.2,"Core: CASE"
"LOC111130343","GO:0005524","ATP binding",1286,56,37.86,0.00215,"Molecular Functions",0.0435458786936236,"Core: CASE"
"LOC111130343","GO:0008569","ATP-dependent microtubule motor activity, minus-end-directed",31,4,0.91,0.01245,"Molecular Functions",0.129032258064516,"Core: CASE"
"LOC111130343","GO:0016887","ATPase activity",359,27,10.57,0.00141,"Molecular Functions",0.0752089136490251,"Core: CASE"
"LOC111130343","GO:0045505","dynein intermediate chain binding",63,6,1.85,0.01042,"Molecular Functions",0.0952380952380952,"Core: CASE"
"LOC111130343","GO:0051959","dynein light intermediate chain binding",37,6,1.09,0.00068,"Molecular Functions",0.162162162162162,"Core: CASE"
"LOC111130355","GO:0003723","RNA binding",833,60,24.52,0.00083,"Molecular Functions",0.0720288115246098,"Core: CASE"
"LOC111130568","GO:0003777","microtubule motor activity",76,8,2.24,0.03136,"Molecular Functions",0.105263157894737,"Core: CASE"
"LOC111130568","GO:0005524","ATP binding",1286,56,37.86,0.00215,"Molecular Functions",0.0435458786936236,"Core: CASE"
"LOC111130568","GO:0008017","microtubule binding",158,11,4.65,0.00719,"Molecular Functions",0.069620253164557,"Core: CASE"
"LOC111130582","GO:0005524","ATP binding",1286,56,37.86,0.00215,"Molecular Functions",0.0435458786936236,"Core: CASE"
"LOC111130699","GO:0003743","translation initiation factor activity",48,10,1.41,1.1e-06,"Molecular Functions",0.208333333333333,"Core: CASE"
"LOC111130699","GO:0071074","eukaryotic initiation factor eIF2 binding",1,1,0.03,0.02944,"Molecular Functions",1,"Core: CASE"
"LOC111130771","GO:0003735","structural constituent of ribosome",174,19,5.12,9.6e-07,"Molecular Functions",0.109195402298851,"Core: CASE"
"LOC111130836","GO:0046961","proton-transporting ATPase activity, rotational mechanism",23,4,0.68,0.00422,"Molecular Functions",0.173913043478261,"Core: CASE"
"LOC111131007","GO:0003729","mRNA binding",160,17,4.71,1.4e-05,"Molecular Functions",0.10625,"Core: CASE"
"LOC111131036","GO:0003743","translation initiation factor activity",48,10,1.41,1.1e-06,"Molecular Functions",0.208333333333333,"Core: CASE"
"LOC111131036","GO:0043022","ribosome binding",24,3,0.71,0.03245,"Molecular Functions",0.125,"Core: CASE"
"LOC111131049","GO:0003735","structural constituent of ribosome",174,19,5.12,9.6e-07,"Molecular Functions",0.109195402298851,"Core: CASE"
"LOC111131153","GO:0005524","ATP binding",1286,56,37.86,0.00215,"Molecular Functions",0.0435458786936236,"Core: CASE"
"LOC111131153","GO:0016887","ATPase activity",359,27,10.57,0.00141,"Molecular Functions",0.0752089136490251,"Core: CASE"
"LOC111131153","GO:0051082","unfolded protein binding",66,9,1.94,0.00013,"Molecular Functions",0.136363636363636,"Core: CASE"
"LOC111131315","GO:0003924","GTPase activity",294,17,8.65,0.00652,"Molecular Functions",0.0578231292517007,"Core: CASE"
"LOC111131315","GO:0016887","ATPase activity",359,27,10.57,0.00141,"Molecular Functions",0.0752089136490251,"Core: CASE"
"LOC111131375","GO:0003723","RNA binding",833,60,24.52,0.00083,"Molecular Functions",0.0720288115246098,"Core: CASE"
"LOC111131654","GO:0005527","macrolide binding",1,1,0.03,0.02944,"Molecular Functions",1,"Core: CASE"
"LOC111131740","GO:0005524","ATP binding",1286,56,37.86,0.00215,"Molecular Functions",0.0435458786936236,"Core: CASE"
"LOC111131740","GO:0016887","ATPase activity",359,27,10.57,0.00141,"Molecular Functions",0.0752089136490251,"Core: CASE"
"LOC111131740","GO:0051082","unfolded protein binding",66,9,1.94,0.00013,"Molecular Functions",0.136363636363636,"Core: CASE"
"LOC111132033","GO:0003723","RNA binding",833,60,24.52,0.00083,"Molecular Functions",0.0720288115246098,"Core: CASE"
"LOC111132147","GO:0003924","GTPase activity",294,17,8.65,0.00652,"Molecular Functions",0.0578231292517007,"Core: CASE"
"LOC111132263","GO:0008017","microtubule binding",158,11,4.65,0.00719,"Molecular Functions",0.069620253164557,"Core: CASE"
"LOC111132297","GO:0003723","RNA binding",833,60,24.52,0.00083,"Molecular Functions",0.0720288115246098,"Core: CASE"
"LOC111132297","GO:0003735","structural constituent of ribosome",174,19,5.12,9.6e-07,"Molecular Functions",0.109195402298851,"Core: CASE"
"LOC111132406","GO:0000225","N-acetylglucosaminylphosphatidylinositol deacetylase activity",1,1,0.03,0.02944,"Molecular Functions",1,"Core: CASE"
"LOC111132762","GO:0030234","enzyme regulator activity",566,21,16.66,0.02686,"Molecular Functions",0.0371024734982332,"Core: CASE"
"LOC111132903","GO:0003735","structural constituent of ribosome",174,19,5.12,9.6e-07,"Molecular Functions",0.109195402298851,"Core: CASE"
"LOC111133022","GO:0003729","mRNA binding",160,17,4.71,1.4e-05,"Molecular Functions",0.10625,"Core: CASE"
"LOC111133022","GO:0003743","translation initiation factor activity",48,10,1.41,1.1e-06,"Molecular Functions",0.208333333333333,"Core: CASE"
"LOC111133107","GO:0005524","ATP binding",1286,56,37.86,0.00215,"Molecular Functions",0.0435458786936236,"Core: CASE"
"LOC111133107","GO:0031434","mitogen-activated protein kinase kinase binding",1,1,0.03,0.02944,"Molecular Functions",1,"Core: CASE"
"LOC111133147","GO:0001018","mitochondrial promoter sequence-specific DNA binding",1,1,0.03,0.02944,"Molecular Functions",1,"Core: CASE"
"LOC111133254","GO:0030234","enzyme regulator activity",566,21,16.66,0.02686,"Molecular Functions",0.0371024734982332,"Core: CASE"
